fl	sample	correlation
41	AR_DHT_3	0
42	AR_Veh_1	0
42	AR_Veh_2	0
42	AR_Veh_3	0
42	AR_DHT_1	0
42	AR_DHT_2	0
42	AR_DHT_3	0
43	AR_Veh_1	0
43	AR_Veh_2	0
43	AR_Veh_3	0
43	AR_DHT_1	0
43	AR_DHT_2	0
43	AR_DHT_3	0
44	AR_Veh_1	0
44	AR_Veh_2	0
44	AR_Veh_3	0
44	AR_DHT_1	0
44	AR_DHT_2	0
44	AR_DHT_3	0
45	AR_Veh_1	0
45	AR_Veh_2	0
45	AR_Veh_3	0
45	AR_DHT_1	0
45	AR_DHT_2	0
45	AR_DHT_3	0
46	AR_Veh_1	0
46	AR_Veh_2	0
46	AR_Veh_3	0
46	AR_DHT_1	0
46	AR_DHT_2	0
46	AR_DHT_3	0
47	AR_Veh_1	0
47	AR_Veh_2	0
47	AR_Veh_3	0
47	AR_DHT_1	0
47	AR_DHT_2	0
47	AR_DHT_3	0
48	AR_Veh_1	0
48	AR_Veh_2	0
48	AR_Veh_3	0
48	AR_DHT_1	0
48	AR_DHT_2	0
48	AR_DHT_3	0
49	AR_Veh_1	0
49	AR_Veh_2	0
49	AR_Veh_3	0
49	AR_DHT_1	0
49	AR_DHT_2	0
49	AR_DHT_3	0
50	AR_Veh_1	0
50	AR_Veh_2	0
50	AR_Veh_3	0
50	AR_DHT_1	0
50	AR_DHT_2	0
50	AR_DHT_3	0
51	AR_Veh_1	0
51	AR_Veh_2	0
51	AR_Veh_3	0
51	AR_DHT_1	0
51	AR_DHT_2	0
51	AR_DHT_3	0
52	AR_Veh_1	0
52	AR_Veh_2	0
52	AR_Veh_3	0
52	AR_DHT_1	0
52	AR_DHT_2	0
52	AR_DHT_3	0
53	AR_Veh_1	0
53	AR_Veh_2	0
53	AR_Veh_3	0
53	AR_DHT_1	0
53	AR_DHT_2	0
53	AR_DHT_3	0
54	AR_Veh_1	0
54	AR_Veh_2	0
54	AR_Veh_3	0
54	AR_DHT_1	0
54	AR_DHT_2	0
54	AR_DHT_3	0
55	AR_Veh_1	0
55	AR_Veh_2	0
55	AR_Veh_3	0
55	AR_DHT_1	0
55	AR_DHT_2	0
55	AR_DHT_3	0
56	AR_Veh_1	0
56	AR_Veh_2	0
56	AR_Veh_3	0
56	AR_DHT_1	0
56	AR_DHT_2	0
56	AR_DHT_3	0
57	AR_Veh_1	0
57	AR_Veh_2	0
57	AR_Veh_3	0
57	AR_DHT_1	0
57	AR_DHT_2	0
57	AR_DHT_3	0
58	AR_Veh_1	0
58	AR_Veh_2	0
58	AR_Veh_3	0
58	AR_DHT_1	0
58	AR_DHT_2	0
58	AR_DHT_3	0
59	AR_Veh_1	0
59	AR_Veh_2	0
59	AR_Veh_3	0
59	AR_DHT_1	0
59	AR_DHT_2	0
59	AR_DHT_3	0
60	AR_Veh_1	0
60	AR_Veh_2	0
60	AR_Veh_3	0
60	AR_DHT_1	0
60	AR_DHT_2	0
60	AR_DHT_3	0
61	AR_Veh_1	0
61	AR_Veh_2	0
61	AR_Veh_3	0
61	AR_DHT_1	0
61	AR_DHT_2	0
61	AR_DHT_3	0
62	AR_Veh_1	0
62	AR_Veh_2	0
62	AR_Veh_3	0
62	AR_DHT_1	0
62	AR_DHT_2	0
62	AR_DHT_3	0
63	AR_Veh_1	0
63	AR_Veh_2	0
63	AR_Veh_3	0
63	AR_DHT_1	0
63	AR_DHT_2	0
63	AR_DHT_3	0
64	AR_Veh_1	0
64	AR_Veh_2	0
64	AR_Veh_3	0
64	AR_DHT_1	0
64	AR_DHT_2	0
64	AR_DHT_3	0
65	AR_Veh_1	0
65	AR_Veh_2	0
65	AR_Veh_3	0
65	AR_DHT_1	0
65	AR_DHT_2	0
65	AR_DHT_3	0
66	AR_Veh_1	0
66	AR_Veh_2	0
66	AR_Veh_3	0
66	AR_DHT_1	0
66	AR_DHT_2	0
66	AR_DHT_3	0
67	AR_Veh_1	0
67	AR_Veh_2	0
67	AR_Veh_3	0
67	AR_DHT_1	0
67	AR_DHT_2	0
67	AR_DHT_3	0
68	AR_Veh_1	0
68	AR_Veh_2	0
68	AR_Veh_3	0
68	AR_DHT_1	0
68	AR_DHT_2	0
68	AR_DHT_3	0
69	AR_Veh_1	0
69	AR_Veh_2	0
69	AR_Veh_3	0
69	AR_DHT_1	0
69	AR_DHT_2	0
69	AR_DHT_3	0
70	AR_Veh_1	0
70	AR_Veh_2	0
70	AR_Veh_3	0
70	AR_DHT_1	0
70	AR_DHT_2	0
70	AR_DHT_3	0
71	AR_Veh_1	0
71	AR_Veh_2	0
71	AR_Veh_3	0
71	AR_DHT_1	0
71	AR_DHT_2	0
71	AR_DHT_3	0
72	AR_Veh_1	0
72	AR_Veh_2	0
72	AR_Veh_3	0
72	AR_DHT_1	0
72	AR_DHT_2	0
72	AR_DHT_3	0
73	AR_Veh_1	0
73	AR_Veh_2	0
73	AR_Veh_3	0
73	AR_DHT_1	0
73	AR_DHT_2	0
73	AR_DHT_3	0
74	AR_Veh_1	0
74	AR_Veh_2	0
74	AR_Veh_3	0
74	AR_DHT_1	0
74	AR_DHT_2	0
74	AR_DHT_3	0
75	AR_Veh_1	0
75	AR_Veh_2	0
75	AR_Veh_3	0
75	AR_DHT_1	0
75	AR_DHT_2	0
75	AR_DHT_3	0
76	AR_Veh_1	0
76	AR_Veh_2	0
76	AR_Veh_3	0
76	AR_DHT_1	0
76	AR_DHT_2	0
76	AR_DHT_3	0
77	AR_Veh_1	0
77	AR_Veh_2	0
77	AR_Veh_3	0
77	AR_DHT_1	0
77	AR_DHT_2	0
77	AR_DHT_3	0
78	AR_Veh_1	0
78	AR_Veh_2	0
78	AR_Veh_3	0
78	AR_DHT_1	0
78	AR_DHT_2	0
78	AR_DHT_3	0
79	AR_Veh_1	0
79	AR_Veh_2	0
79	AR_Veh_3	0
79	AR_DHT_1	0
79	AR_DHT_2	0
79	AR_DHT_3	0
80	AR_Veh_1	0
80	AR_Veh_2	0
80	AR_Veh_3	0
80	AR_DHT_1	0
80	AR_DHT_2	0
80	AR_DHT_3	0
81	AR_Veh_1	0
81	AR_Veh_2	0
81	AR_Veh_3	0
81	AR_DHT_1	0
81	AR_DHT_2	0
81	AR_DHT_3	0
82	AR_Veh_1	0
82	AR_Veh_2	0
82	AR_Veh_3	0
82	AR_DHT_1	0
82	AR_DHT_2	0
82	AR_DHT_3	0
83	AR_Veh_1	0
83	AR_Veh_2	0
83	AR_Veh_3	0
83	AR_DHT_1	0
83	AR_DHT_2	0
83	AR_DHT_3	0
84	AR_Veh_1	0
84	AR_Veh_2	0
84	AR_Veh_3	0
84	AR_DHT_1	0
84	AR_DHT_2	0
84	AR_DHT_3	0
85	AR_Veh_1	0
85	AR_Veh_2	0
85	AR_Veh_3	0
85	AR_DHT_1	0
85	AR_DHT_2	0
85	AR_DHT_3	0
86	AR_Veh_1	0
86	AR_Veh_2	0
86	AR_Veh_3	0
86	AR_DHT_1	0
86	AR_DHT_2	0
86	AR_DHT_3	0
87	AR_Veh_1	0
87	AR_Veh_2	0
87	AR_Veh_3	0
87	AR_DHT_1	0
87	AR_DHT_2	0
87	AR_DHT_3	0
88	AR_Veh_1	0
88	AR_Veh_2	0
88	AR_Veh_3	0
88	AR_DHT_1	0
88	AR_DHT_2	0
88	AR_DHT_3	0
89	AR_Veh_1	0
89	AR_Veh_2	0
89	AR_Veh_3	0
89	AR_DHT_1	0
89	AR_DHT_2	0
89	AR_DHT_3	0
90	AR_Veh_1	0
90	AR_Veh_2	0
90	AR_Veh_3	0
90	AR_DHT_1	0
90	AR_DHT_2	0
90	AR_DHT_3	0
91	AR_Veh_1	0
91	AR_Veh_2	0
91	AR_Veh_3	0
91	AR_DHT_1	0
91	AR_DHT_2	0
91	AR_DHT_3	0
92	AR_Veh_1	0
92	AR_Veh_2	0
92	AR_Veh_3	0
92	AR_DHT_1	0
92	AR_DHT_2	0
92	AR_DHT_3	0
93	AR_Veh_1	0
93	AR_Veh_2	0
93	AR_Veh_3	0
93	AR_DHT_1	0
93	AR_DHT_2	0
93	AR_DHT_3	0
94	AR_Veh_1	0
94	AR_Veh_2	0
94	AR_Veh_3	0
94	AR_DHT_1	0
94	AR_DHT_2	0
94	AR_DHT_3	0
95	AR_Veh_1	0
95	AR_Veh_2	0
95	AR_Veh_3	0
95	AR_DHT_1	0
95	AR_DHT_2	0
95	AR_DHT_3	0
96	AR_Veh_1	0
96	AR_Veh_2	0
